date,Discharge
1/1/1980,55
1/2/1980,46.741261
1/3/1980,22.396198
1/4/1980,18.098976
1/5/1980,15.848062
1/6/1980,11.637539
1/7/1980,11.460271
1/8/1980,7.3105313
1/9/1980,7.182661
1/10/1980,2.070403
1/11/1980,176.85751
1/12/1980,349.35698
1/13/1980,144.70707
1/14/1980,104.13007
1/15/1980,78.640187
1/16/1980,70.244346
1/17/1980,111.94773
1/18/1980,93.756435
1/19/1980,62.67704
1/20/1980,47.584957
1/21/1980,39.809463
1/22/1980,38.82575
1/23/1980,32.658684
1/24/1980,27.193352
1/25/1980,35.629186
1/26/1980,31.150229
1/27/1980,24.562511
1/28/1980,18.671064
1/29/1980,11.443225
1/30/1980,4.8612899
1/31/1980,3.0645156
2/1/1980,2.1994901
2/2/1980,2.3152528
2/3/1980,2.4371082
2/4/1980,2.565377
2/5/1980,1.6740811
2/6/1980,1.7621906
2/7/1980,1.8549375
2/8/1980,0.92625
2/9/1980,0.975
2/10/1980,0
2/11/1980,0
2/12/1980,0
2/13/1980,0
2/14/1980,1.99875
2/15/1980,9.988875
2/16/1980,62.926866
2/17/1980,75.738585
2/18/1980,58.398065
2/19/1980,43.942876
2/20/1980,131.35846
2/21/1980,340.42638
2/22/1980,708.63411
2/23/1980,486.09692
2/24/1980,323.51616
2/25/1980,221.15639
2/26/1980,159.03799
2/27/1980,88.164343
2/28/1980,73.517836
2/29/1980,64.068085
3/1/1980,42.77904
3/2/1980,31.609151
3/3/1980,20.522443
3/4/1980,29.490071
3/5/1980,118.43463
3/6/1980,387.07351
3/7/1980,245.13366
3/8/1980,662.42012
3/9/1980,478.69009
3/10/1980,309.11764
3/11/1980,190.18634
3/12/1980,142.216
3/13/1980,119.3591
3/14/1980,109.66922
3/15/1980,175.11557
3/16/1980,99.656224
3/17/1980,635.00065
3/18/1980,995.87531
3/19/1980,492.70784
3/20/1980,280.92879
3/21/1980,535.56982
3/22/1980,354.65296
3/23/1980,187.19766
3/24/1980,283.21217
3/25/1980,296.69924
3/26/1980,116.6199
3/27/1980,52.848313
3/28/1980,30.242772
3/29/1980,143.65876
3/30/1980,437.04552
3/31/1980,1228.5176
4/1/1980,1017.2108
4/2/1980,589.23849
4/3/1980,282.68554
4/4/1980,296.4302
4/5/1980,171.59104
4/6/1980,99.543198
4/7/1980,63.729682
4/8/1980,100.10559
4/9/1980,307.85743
4/10/1980,214.22073
4/11/1980,137.15831
4/12/1980,106.47267
4/13/1980,71.023862
4/14/1980,492.0363
4/15/1980,608.14226
4/16/1980,389.62754
4/17/1980,222.17105
4/18/1980,154.09507
4/19/1980,113.9685
4/20/1980,90.203683
4/21/1980,78.530192
4/22/1980,64.189676
4/23/1980,54.225975
4/24/1980,40.658921
4/25/1980,30.483075
4/26/1980,25.929552
4/27/1980,21.136371
4/28/1980,22.248811
4/29/1980,39.430328
4/30/1980,36.70245
5/1/1980,29.067869
5/2/1980,24.397783
5/3/1980,19.523982
5/4/1980,16.446297
5/5/1980,13.206628
5/6/1980,10.822767
5/7/1980,9.3397543
5/8/1980,6.752373
5/9/1980,4.0288137
5/10/1980,2.1882249
5/11/1980,2.3033947
5/12/1980,12.431205
5/13/1980,31.59765
5/14/1980,25.830799
5/15/1980,13.127319
5/16/1980,6.4538696
5/17/1980,12.797494
5/18/1980,29.181376
5/19/1980,42.640076
5/20/1980,28.192567
5/21/1980,18.822537
5/22/1980,12.472793
5/23/1980,9.0239931
5/24/1980,12.500914
5/25/1980,12.0081
5/26/1980,8.487375
